ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	4	({({x1 => 1, x2 => 0, x3 => 0, x4 => 1},1)},0)	0.000247
1	1	4	({({x1 => 1, x2 => 0, x3 => 1, x4 => 0},0)},1)	0.000150
2	3	4	({({x3 => 1},0), ({x4 => 1},1), ({x1 => 0, x2 => 1},0)},1)	0.000323
3	1	6	({({x1 => 1, x2 => 1, x3 => 1, x4 => 0, x5 => 0, x6 => 1},1)},0)	0.000225
4	5	6	({({x4 => 0},0), ({x3 => 1},1), ({x2 => 0},0), ({x5 => 0},1), ({x1 => 1, x6 => 1},0)},1)	0.000822
5	4	6	({({x1 => 0},1), ({x3 => 0, x4 => 0},0), ({x5 => 1},1), ({x2 => 1, x6 => 1},0)},1)	0.000645
6	5	8	({({x2 => 1},0), ({x3 => 0},1), ({x1 => 1, x6 => 0},0), ({x7 => 0},1), ({x4 => 0, x5 => 1, x8 => 1},0)},1)	0.001140
7	3	8	({({x4 => 1, x5 => 0},1), ({x7 => 0},0), ({x1 => 1, x2 => 0, x3 => 1, x6 => 1, x8 => 0},1)},0)	0.000750
8	3	8	({({x1 => 0, x5 => 1, x7 => 1},1), ({x2 => 0, x3 => 1, x6 => 0},0), ({x4 => 0, x8 => 0},1)},0)	0.000689
9	7	10	({({x6 => 0},0), ({x2 => 1},1), ({x5 => 1},0), ({x10 => 0},1), ({x7 => 1, x8 => 0, x9 => 0},0), ({x1 => 1},1), ({x3 => 0, x4 => 0},0)},1)	0.004005
10	5	10	({({x7 => 0},0), ({x2 => 0, x10 => 0},1), ({x1 => 0, x6 => 1, x8 => 0},0), ({x4 => 1, x5 => 0},1), ({x3 => 0, x9 => 1},0)},1)	0.002934
11	7	10	({({x8 => 0},1), ({x7 => 0},0), ({x3 => 1},1), ({x6 => 1, x10 => 1},0), ({x4 => 1},1), ({x5 => 0},0), ({x1 => 0, x2 => 1, x9 => 0},1)},0)	0.003175
12	5	12	({({x2 => 1},0), ({x1 => 0, x5 => 1, x6 => 1, x9 => 0, x12 => 1},1), ({x8 => 1, x10 => 0, x11 => 0},0), ({x7 => 0},1), ({x3 => 0, x4 => 1},0)},1)	0.010713
13	3	12	({({x1 => 0, x6 => 1, x11 => 0},1), ({x7 => 1, x9 => 1},0), ({x2 => 0, x3 => 0, x4 => 1, x5 => 0, x8 => 1, x10 => 1, x12 => 1},1)},0)	0.008258
14	7	12	({({x3 => 1, x11 => 1},0), ({x7 => 1},1), ({x6 => 1},0), ({x5 => 0},1), ({x8 => 0},0), ({x9 => 0},1), ({x1 => 1, x2 => 0, x4 => 1, x10 => 0, x12 => 0},0)},1)	0.010698
