ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	2	({({x1 => 0, x2 => 1},1)},0)	0.000184
1	0	0	({},1001)	0.000026
2	1	2	({({x1 => 1, x2 => 0},1)},0)	0.000105
3	1	2	({({x1 => 1, x2 => 1},1)},0)	0.000086
4	0	0	({},0110)	0.000024
5	1	1	({({x3 => 0},1)},0110)	0.000092
6	0	0	({},11101001)	0.000027
7	1	1	({({x3 => 0},0)},1001)	0.000092
8	0	0	({},00110100)	0.000026
9	1	3	({({x1 => 0, x2 => 1, x3 => 0},1)},0)	0.000094
10	0	0	({},0011010010001101)	0.000031
11	0	0	({},0010101111101111)	0.000030
12	0	0	({},0100001100101111)	0.000029
13	0	0	({},1011101001011001)	0.000028
14	0	0	({},0010010001001010)	0.000027
