ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	2	({({x1 => 0, x2 => 0},1)},0)	0.000220
1	1	2	({({x1 => 1, x2 => 1},1)},0)	0.000114
2	1	2	({({x1 => 1, x2 => 1},0)},1)	0.000108
3	1	2	({({x1 => 0, x2 => 0},0)},1)	0.000101
4	1	2	({({x1 => 0, x2 => 0},1)},0)	0.000100
5	2	3	({({x3 => 1},1), ({x1 => 0, x2 => 1},0)},1)	0.000183
6	2	3	({({x2 => 0},0), ({x1 => 1, x3 => 1},1)},0)	0.000181
7	1	3	({({x1 => 1, x2 => 0, x3 => 1},1)},0)	0.000109
8	1	3	({({x1 => 1, x2 => 0, x3 => 0},1)},0)	0.000107
9	2	3	({({x2 => 1},1), ({x1 => 1, x3 => 1},0)},1)	0.000177
10	2	4	({({x3 => 0},1), ({x1 => 0, x2 => 1, x4 => 0},0)},1)	0.000193
11	1	4	({({x1 => 0, x2 => 0, x3 => 1, x4 => 0},1)},0)	0.000135
12	2	4	({({x3 => 1, x4 => 0},0), ({x1 => 1, x2 => 0},1)},0)	0.000193
13	2	4	({({x2 => 0},0), ({x1 => 0, x3 => 1, x4 => 1},1)},0)	0.000199
14	3	4	({({x1 => 0},0), ({x3 => 0},1), ({x2 => 0, x4 => 0},0)},1)	0.000269
15	3	5	({({x4 => 1},1), ({x5 => 0},0), ({x1 => 0, x2 => 1, x3 => 1},1)},0)	0.000279
16	4	5	({({x5 => 0},0), ({x3 => 0},1), ({x1 => 1},0), ({x2 => 0, x4 => 1},1)},0)	0.000355
17	4	5	({({x2 => 0},1), ({x1 => 1},0), ({x5 => 0},1), ({x3 => 1, x4 => 1},0)},1)	0.000366
18	4	5	({({x4 => 1},0), ({x2 => 0},1), ({x1 => 1},0), ({x3 => 0, x5 => 0},1)},0)	0.000360
19	3	5	({({x2 => 0, x3 => 1},0), ({x5 => 0},1), ({x1 => 0, x4 => 0},0)},1)	0.000290
20	3	6	({({x2 => 1, x3 => 0},0), ({x5 => 1, x6 => 0},1), ({x1 => 1, x4 => 0},0)},1)	0.000532
21	2	6	({({x1 => 0, x3 => 0, x4 => 0},0), ({x2 => 0, x5 => 1, x6 => 1},1)},0)	0.000335
22	4	6	({({x3 => 0},0), ({x6 => 1},1), ({x4 => 1},0), ({x1 => 1, x2 => 0, x5 => 0},1)},0)	0.000516
23	3	6	({({x6 => 1},1), ({x2 => 0, x5 => 1},0), ({x1 => 0, x3 => 1, x4 => 1},1)},0)	0.000397
24	4	6	({({x1 => 1},0), ({x2 => 1},1), ({x6 => 0},0), ({x3 => 0, x4 => 0, x5 => 0},1)},0)	0.000522
