ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	4	({({x1 => 1, x2 => 0, x3 => 0, x4 => 1},1)},0)	0.000259
1	1	4	({({x1 => 1, x2 => 0, x3 => 1, x4 => 0},0)},1)	0.000133
2	3	4	({({x3 => 1},0), ({x4 => 1},1), ({x1 => 0, x2 => 1},0)},1)	0.000276
3	3	4	({({x1 => 1},1), ({x4 => 1},0), ({x2 => 0, x3 => 0},1)},0)	0.000239
4	3	4	({({x4 => 0},1), ({x2 => 1},0), ({x1 => 0, x3 => 1},1)},0)	0.000237
5	3	6	({({x4 => 0},0), ({x1 => 1, x3 => 0},1), ({x2 => 0, x5 => 0, x6 => 0},0)},1)	0.000299
6	3	6	({({x2 => 0, x5 => 1},1), ({x6 => 1},0), ({x1 => 1, x3 => 0, x4 => 1},1)},0)	0.000309
7	2	6	({({x2 => 1, x3 => 0, x6 => 1},0), ({x1 => 0, x4 => 0, x5 => 0},1)},0)	0.000232
8	2	6	({({x1 => 0, x3 => 0, x4 => 1, x5 => 1},1), ({x2 => 0, x6 => 0},0)},1)	0.000264
9	3	6	({({x3 => 0, x5 => 1},0), ({x2 => 0, x4 => 1},1), ({x1 => 0, x6 => 0},0)},1)	0.000295
10	6	8	({({x1 => 1},1), ({x6 => 0},0), ({x7 => 0},1), ({x2 => 0, x5 => 1},0), ({x8 => 0},1), ({x3 => 1, x4 => 0},0)},1)	0.000623
11	5	8	({({x2 => 0},0), ({x6 => 1},1), ({x5 => 0},0), ({x1 => 1},1), ({x3 => 0, x4 => 0, x7 => 1, x8 => 0},0)},1)	0.000734
12	3	8	({({x2 => 0, x7 => 1},1), ({x4 => 1, x5 => 0, x6 => 0},0), ({x1 => 1, x3 => 1, x8 => 0},1)},0)	0.000556
13	2	8	({({x3 => 0, x4 => 0, x5 => 1, x8 => 0},1), ({x1 => 1, x2 => 1, x6 => 1, x7 => 0},0)},1)	0.000483
14	3	8	({({x5 => 1, x7 => 1},1), ({x4 => 1},0), ({x1 => 0, x2 => 0, x3 => 0, x6 => 1, x8 => 0},1)},0)	0.000501
15	5	10	({({x2 => 1},0), ({x3 => 1, x10 => 1},1), ({x5 => 1, x7 => 0, x9 => 0},0), ({x1 => 0},1), ({x4 => 1, x6 => 0, x8 => 0},0)},1)	0.001007
16	3	10	({({x2 => 1, x5 => 1, x9 => 1},1), ({x1 => 0, x6 => 1},0), ({x3 => 0, x4 => 1, x7 => 0, x8 => 1, x10 => 1},1)},0)	0.001008
17	7	10	({({x3 => 1},0), ({x4 => 1, x8 => 1},1), ({x5 => 1},0), ({x2 => 1},1), ({x9 => 1, x10 => 1},0), ({x7 => 0},1), ({x1 => 0, x6 => 1},0)},1)	0.001064
18	5	10	({({x1 => 0},1), ({x2 => 0, x8 => 1},0), ({x4 => 0, x7 => 0, x10 => 0},1), ({x5 => 1},0), ({x3 => 1, x6 => 1, x9 => 1},1)},0)	0.002705
