ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	2	({({x1 => 0, x2 => 1},1)},0)	.0021875
1	0	0	({},x1+x2+1)	.00131741
2	1	2	({({x1 => 1, x2 => 0},1)},0)	.00198422
3	1	2	({({x1 => 1, x2 => 1},1)},0)	.00210783
4	0	0	({},x1+x2)	.00142663
5	1	1	({({x3 => 0},1)},x1+x2)	.00393445
6	0	0	({},x1*x2*x3+x1*x2+x1*x3+x2*x3+1)	.00192575
7	1	1	({({x3 => 0},0)},x1+x2+1)	.00424522
8	0	0	({},x1*x2*x3+x1*x2+x1*x3+x2)	.00195089
9	1	3	({({x1 => 0, x2 => 1, x3 => 0},1)},0)	.00253889
10	0	0	({},x1*x2*x3*x4+x1*x2*x3+x1*x3*x4+x2*x3*x4+x2*x3+x1*x4+x2*x4+x1+x3)	.00260773
11	0	0	({},x1*x2*x3*x4+x1*x2*x3+x1*x2*x4+x1*x2+x1*x3+x2*x3+x2*x4+x3*x4+x1+x2+x3)	.00262045
12	0	0	({},x1*x2*x4+x2*x3*x4+x1*x2+x1*x3+x2*x3+x1*x4+x2*x4+x3*x4+x4)	.00267044
13	0	0	({},x1*x2*x3*x4+x1*x2*x3+x1*x3*x4+x2*x3*x4+x1*x2+x3*x4+x1+x4+1)	.00260519
14	0	0	({},x1*x2*x3*x4+x1*x2*x3+x1*x2*x4+x1*x2+x1*x3+x2*x3+x1*x4+x2*x4+x3*x4+x3)	.00260701
15	0	0	({},x1*x2*x4*x5+x2*x3*x4*x5+x1*x2*x3+x2*x3*x4+x1*x2*x5+x2*x3*x5+x1*x2+x2*x4+x3*x4+x2*x5+x1+x4)	.0033508
16	0	0	({},x1*x2*x3*x4*x5+x1*x2*x3*x4+x1*x2*x3*x5+x1*x3*x4*x5+x1*x2*x4+x1*x3*x4+x1*x2*x5+x1*x3*x5+x2*x3*x5+x1*x4*x5+x3*x4*x5+x2*x3+x1*x4+x3*x4+x2*x5+x4*x5+x3+1)	.00334075
17	0	0	({},x1*x2*x3*x4*x5+x1*x2*x3*x4+x1*x2*x3*x5+x1*x2*x4*x5+x1*x3*x4*x5+x2*x3*x4*x5+x1*x3*x4+x2*x3*x4+x2*x3*x5+x3*x4*x5+x1*x2+x2*x4+x2*x5+x4*x5+x1+x4+x5+1)	.00333191
18	0	0	({},x1*x2*x3*x4+x1*x2*x4*x5+x2*x3*x4*x5+x1*x2*x3+x2*x3*x4+x1*x2*x5+x1*x4*x5+x1*x2+x2*x3+x1*x4+x2*x4+x4*x5+x3+1)	.00847355
19	0	0	({},x1*x2*x3*x4+x1*x2*x3*x5+x1*x2*x4*x5+x1*x3*x4*x5+x1*x2*x3+x1*x2*x4+x1*x3*x4+x1*x3*x5+x2*x4*x5+x1*x3+x3*x4+x1*x5+x3*x5+x4*x5+x1+x2+x3+x4+1)	.003406
20	0	0	({},x1*x2*x3*x4*x5*x6+x1*x2*x3*x4*x5+x1*x2*x3*x4*x6+x1*x2*x4*x5*x6+x1*x3*x4*x5*x6+x1*x2*x3*x4+x1*x3*x4*x5+x2*x3*x4*x5+x1*x2*x3*x6+x1*x2*x4*x6+x1*x3*x4*x6+x2*x3*x4*x6+x1*x2*x5*x6+x2*x3*x5*x6+x1*x4*x5*x6+x1*x2*x4+x2*x3*x4+x1*x2*x5+x1*x3*x5+x2*x4*x5+x3*x4*x5+x1*x4*x6+x1*x5*x6+x2*x5*x6+x3*x5*x6+x4*x5*x6+x1*x2+x1*x3+x2*x3+x2*x4+x3*x4+x2*x5+x3*x5+x4*x5+x1*x6+x2*x6+x3*x6+x4+x6+1)	.00431586
21	0	0	({},x1*x2*x3*x4*x5*x6+x1*x2*x3*x4*x6+x1*x2*x4*x5*x6+x2*x3*x4*x5*x6+x1*x2*x3*x4+x1*x3*x4*x5+x2*x3*x4*x5+x1*x2*x3*x6+x1*x2*x4*x6+x2*x3*x4*x6+x1*x2*x5*x6+x2*x3*x5*x6+x1*x4*x5*x6+x1*x2*x4+x1*x3*x4+x2*x3*x4+x1*x2*x5+x1*x3*x5+x2*x4*x5+x3*x4*x5+x1*x2*x6+x1*x3*x6+x1*x4*x6+x3*x4*x6+x4*x5*x6+x1*x2+x1*x3+x2*x4+x1*x5+x4*x5+x2*x6+x3*x6+x5*x6+x2+x6+1)	.00434634
22	0	0	({},x1*x2*x3*x4*x5+x1*x2*x3*x4*x6+x1*x2*x3*x5*x6+x1*x3*x4*x5*x6+x1*x2*x4*x5+x1*x3*x4*x5+x1*x2*x3*x6+x2*x3*x4*x6+x1*x3*x5*x6+x1*x2*x3+x2*x3*x5+x1*x4*x5+x2*x4*x5+x3*x4*x5+x1*x2*x6+x1*x3*x6+x3*x4*x6+x1*x5*x6+x2*x5*x6+x1*x4+x2*x4+x1*x5+x2*x5+x1*x6+x3*x6+x5*x6+x2+x3+x4+x6+1)	.00418522
23	0	0	({},x1*x2*x3*x4*x5*x6+x1*x3*x4*x5*x6+x1*x2*x3*x4+x1*x2*x3*x5+x1*x2*x3*x6+x1*x3*x4*x6+x2*x3*x4*x6+x1*x3*x5*x6+x2*x3*x5*x6+x1*x4*x5*x6+x2*x4*x5*x6+x3*x4*x5*x6+x1*x2*x3+x1*x3*x4+x1*x3*x5+x2*x3*x5+x1*x4*x5+x1*x2*x6+x1*x3*x6+x2*x3*x6+x2*x4*x6+x3*x4*x6+x3*x5*x6+x4*x5*x6+x1*x2+x3*x4+x3*x5+x4*x5+x2*x6+x3*x6+x1+x3+x4+1)	.00438719
24	0	0	({},x1*x2*x3*x4*x5+x1*x2*x3*x4*x6+x1*x2*x3*x5+x1*x2*x3*x6+x1*x3*x4*x6+x1*x2*x5*x6+x2*x3*x5*x6+x2*x4*x5*x6+x3*x4*x5*x6+x1*x3*x4+x2*x3*x4+x1*x2*x5+x2*x3*x5+x1*x4*x5+x3*x4*x5+x2*x4*x6+x3*x4*x6+x1*x5*x6+x3*x5*x6+x2*x5+x3*x5+x3*x6+x5*x6+x1+x3+x5)	.00411809
