ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	2	({({x1 => 0, x2 => 0},1)},0)	0.000215
1	1	2	({({x1 => 1, x2 => 1},1)},0)	0.000113
2	1	2	({({x1 => 1, x2 => 1},0)},1)	0.000103
3	1	2	({({x1 => 0, x2 => 0},0)},1)	0.000189
4	1	2	({({x1 => 0, x2 => 0},1)},0)	0.000137
5	3	4	({({x3 => 1},0), ({x4 => 1},1), ({x1 => 0, x2 => 1},0)},1)	0.000328
6	3	4	({({x1 => 1},1), ({x4 => 1},0), ({x2 => 0, x3 => 0},1)},0)	0.000338
7	3	4	({({x4 => 0},1), ({x2 => 1},0), ({x1 => 0, x3 => 1},1)},0)	0.000303
8	1	4	({({x1 => 1, x2 => 1, x3 => 0, x4 => 0},0)},1)	0.000126
9	2	4	({({x4 => 0},1), ({x1 => 1, x2 => 1, x3 => 1},0)},1)	0.000224
10	4	6	({({x6 => 1},1), ({x1 => 1, x3 => 1},0), ({x2 => 1},1), ({x4 => 1, x5 => 0},0)},1)	0.000503
11	3	6	({({x1 => 1},0), ({x6 => 0},1), ({x2 => 0, x3 => 0, x4 => 1, x5 => 1},0)},1)	0.000417
12	3	6	({({x4 => 1},0), ({x1 => 1, x2 => 0},1), ({x3 => 0, x5 => 1, x6 => 1},0)},1)	0.000413
13	2	6	({({x1 => 1, x2 => 0, x5 => 0},1), ({x3 => 0, x4 => 1, x6 => 1},0)},1)	0.000293
14	4	6	({({x1 => 0, x6 => 0},0), ({x5 => 1},1), ({x3 => 0},0), ({x2 => 1, x4 => 0},1)},0)	0.000475
15	3	8	({({x2 => 0, x3 => 1, x4 => 0, x7 => 0},0), ({x6 => 1},1), ({x1 => 1, x5 => 1, x8 => 0},0)},1)	0.000691
16	3	8	({({x8 => 0},1), ({x1 => 0, x2 => 1, x3 => 0, x4 => 1, x5 => 0},0), ({x6 => 0, x7 => 0},1)},0)	0.000788
17	5	8	({({x5 => 0},0), ({x1 => 1, x3 => 0},1), ({x2 => 1},0), ({x4 => 1},1), ({x6 => 0, x7 => 1, x8 => 1},0)},1)	0.000975
18	4	8	({({x7 => 0},1), ({x1 => 1, x3 => 1},0), ({x2 => 0, x5 => 1},1), ({x4 => 1, x6 => 1, x8 => 1},0)},1)	0.000865
19	4	8	({({x2 => 0, x6 => 1},0), ({x3 => 0},1), ({x5 => 1, x7 => 0},0), ({x1 => 1, x4 => 0, x8 => 1},1)},0)	0.000800
20	3	10	({({x2 => 1, x5 => 1, x9 => 1},1), ({x1 => 0, x6 => 1},0), ({x3 => 0, x4 => 1, x7 => 0, x8 => 1, x10 => 1},1)},0)	0.002020
21	7	10	({({x3 => 1},0), ({x4 => 1, x8 => 1},1), ({x5 => 1},0), ({x2 => 1},1), ({x9 => 1, x10 => 1},0), ({x7 => 0},1), ({x1 => 0, x6 => 1},0)},1)	0.003134
22	5	10	({({x1 => 0},1), ({x2 => 0, x8 => 1},0), ({x4 => 0, x7 => 0, x10 => 0},1), ({x5 => 1},0), ({x3 => 1, x6 => 1, x9 => 1},1)},0)	0.002860
23	4	10	({({x4 => 1, x5 => 0, x7 => 0, x8 => 1},1), ({x6 => 1},0), ({x1 => 0, x3 => 1, x9 => 0},1), ({x2 => 0, x10 => 1},0)},1)	0.002447
24	7	10	({({x3 => 0},0), ({x6 => 0},1), ({x2 => 1},0), ({x7 => 1},1), ({x10 => 1},0), ({x1 => 0, x4 => 0, x8 => 1},1), ({x5 => 1, x9 => 0},0)},1)	0.003205
25	5	12	({({x6 => 0},0), ({x1 => 0, x3 => 0, x10 => 0},1), ({x7 => 0, x9 => 0},0), ({x2 => 1, x4 => 0, x5 => 0, x8 => 0},1), ({x11 => 0, x12 => 1},0)},1)	0.010007
26	7	12	({({x2 => 1, x3 => 0},0), ({x5 => 1},1), ({x4 => 0, x8 => 1},0), ({x6 => 1},1), ({x1 => 0, x7 => 0, x9 => 0},0), ({x12 => 1},1), ({x10 => 1, x11 => 0},0)},1)	0.008777
27	4	12	({({x1 => 0, x3 => 0, x8 => 1, x11 => 1},0), ({x4 => 1, x12 => 0},1), ({x2 => 1, x5 => 0, x6 => 1, x9 => 0},0), ({x7 => 0, x10 => 1},1)},0)	0.006949
28	8	12	({({x8 => 1},1), ({x3 => 0},0), ({x12 => 0},1), ({x6 => 1},0), ({x4 => 1},1), ({x2 => 1, x10 => 1},0), ({x7 => 0},1), ({x1 => 0, x5 => 0, x9 => 1, x11 => 0},0)},1)	0.011479
29	8	12	({({x3 => 1},1), ({x7 => 1, x10 => 0, x11 => 0},0), ({x8 => 1, x12 => 1},1), ({x4 => 0},0), ({x6 => 0},1), ({x9 => 0},0), ({x1 => 1},1), ({x2 => 0, x5 => 1},0)},1)	0.010201
30	6	14	({({x2 => 0},0), ({x5 => 0, x6 => 0, x8 => 1},1), ({x11 => 1},0), ({x3 => 0, x10 => 0, x12 => 1, x13 => 1, x14 => 1},1), ({x4 => 1, x7 => 0},0), ({x1 => 0, x9 => 1},1)},0)	0.046213
31	8	14	({({x2 => 1},1), ({x1 => 0, x11 => 1},0), ({x5 => 1, x6 => 0, x7 => 0, x9 => 1},1), ({x12 => 1},0), ({x13 => 1},1), ({x4 => 1, x10 => 0},0), ({x3 => 1},1), ({x8 => 1, x14 => 0},0)},1)	0.045140
