ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	2	({({x1 => 0, x2 => 0},1)},0)	0.000223
1	1	2	({({x1 => 1, x2 => 1},1)},0)	0.000118
2	1	2	({({x1 => 1, x2 => 1},0)},1)	0.000106
3	1	2	({({x1 => 0, x2 => 0},0)},1)	0.000101
4	1	2	({({x1 => 0, x2 => 0},1)},0)	0.000103
5	2	3	({({x3 => 1},1), ({x1 => 0, x2 => 1},0)},1)	0.000211
6	2	3	({({x2 => 0},0), ({x1 => 1, x3 => 1},1)},0)	0.000199
7	1	3	({({x1 => 1, x2 => 0, x3 => 1},1)},0)	0.000124
8	1	3	({({x1 => 1, x2 => 0, x3 => 0},1)},0)	0.000109
9	2	3	({({x2 => 1},1), ({x1 => 1, x3 => 1},0)},1)	0.000191
10	2	4	({({x3 => 0},1), ({x1 => 0, x2 => 1, x4 => 0},0)},1)	0.000212
11	1	4	({({x1 => 0, x2 => 0, x3 => 1, x4 => 0},1)},0)	0.000126
12	2	4	({({x3 => 1, x4 => 0},0), ({x1 => 1, x2 => 0},1)},0)	0.000213
13	2	4	({({x2 => 0},0), ({x1 => 0, x3 => 1, x4 => 1},1)},0)	0.000212
14	3	4	({({x1 => 0},0), ({x3 => 0},1), ({x2 => 0, x4 => 0},0)},1)	0.000293
15	3	5	({({x4 => 1},1), ({x5 => 0},0), ({x1 => 0, x2 => 1, x3 => 1},1)},0)	0.000333
16	4	5	({({x5 => 0},0), ({x3 => 0},1), ({x1 => 1},0), ({x2 => 0, x4 => 1},1)},0)	0.000411
17	4	5	({({x2 => 0},1), ({x1 => 1},0), ({x5 => 0},1), ({x3 => 1, x4 => 1},0)},1)	0.000410
18	4	5	({({x4 => 1},0), ({x2 => 0},1), ({x1 => 1},0), ({x3 => 0, x5 => 0},1)},0)	0.000410
19	3	5	({({x2 => 0, x3 => 1},0), ({x5 => 0},1), ({x1 => 0, x4 => 0},0)},1)	0.000314
20	3	6	({({x2 => 1, x3 => 0},0), ({x5 => 1, x6 => 0},1), ({x1 => 1, x4 => 0},0)},1)	0.000370
21	2	6	({({x1 => 0, x3 => 0, x4 => 0},0), ({x2 => 0, x5 => 1, x6 => 1},1)},0)	0.000280
22	4	6	({({x3 => 0},0), ({x6 => 1},1), ({x4 => 1},0), ({x1 => 1, x2 => 0, x5 => 0},1)},0)	0.000487
23	3	6	({({x6 => 1},1), ({x2 => 0, x5 => 1},0), ({x1 => 0, x3 => 1, x4 => 1},1)},0)	0.000392
24	4	6	({({x1 => 1},0), ({x2 => 1},1), ({x6 => 0},0), ({x3 => 0, x4 => 0, x5 => 0},1)},0)	0.000483
