ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	2	({({x1 => 0, x2 => 0},1)},0)	0.000170
1	1	2	({({x1 => 1, x2 => 1},1)},0)	0.000089
2	1	2	({({x1 => 1, x2 => 1},0)},1)	0.000078
3	1	2	({({x1 => 0, x2 => 0},0)},1)	0.000074
4	1	2	({({x1 => 0, x2 => 0},1)},0)	0.000074
5	3	4	({({x3 => 1},0), ({x4 => 1},1), ({x1 => 0, x2 => 1},0)},1)	0.000225
6	3	4	({({x1 => 1},1), ({x4 => 1},0), ({x2 => 0, x3 => 0},1)},0)	0.000220
7	3	4	({({x4 => 0},1), ({x2 => 1},0), ({x1 => 0, x3 => 1},1)},0)	0.000218
8	1	4	({({x1 => 1, x2 => 1, x3 => 0, x4 => 0},0)},1)	0.000092
9	2	4	({({x4 => 0},1), ({x1 => 1, x2 => 1, x3 => 1},0)},1)	0.000156
10	4	6	({({x6 => 1},1), ({x1 => 1, x3 => 1},0), ({x2 => 1},1), ({x4 => 1, x5 => 0},0)},1)	0.000363
11	3	6	({({x1 => 1},0), ({x6 => 0},1), ({x2 => 0, x3 => 0, x4 => 1, x5 => 1},0)},1)	0.000303
12	3	6	({({x4 => 1},0), ({x1 => 1, x2 => 0},1), ({x3 => 0, x5 => 1, x6 => 1},0)},1)	0.000296
13	2	6	({({x1 => 1, x2 => 0, x5 => 0},1), ({x3 => 0, x4 => 1, x6 => 1},0)},1)	0.000212
14	4	6	({({x1 => 0, x6 => 0},0), ({x5 => 1},1), ({x3 => 0},0), ({x2 => 1, x4 => 0},1)},0)	0.000438
15	3	8	({({x2 => 0, x3 => 1, x4 => 0, x7 => 0},0), ({x6 => 1},1), ({x1 => 1, x5 => 1, x8 => 0},0)},1)	0.000522
16	3	8	({({x8 => 0},1), ({x1 => 0, x2 => 1, x3 => 0, x4 => 1, x5 => 0},0), ({x6 => 0, x7 => 0},1)},0)	0.000581
17	5	8	({({x5 => 0},0), ({x1 => 1, x3 => 0},1), ({x2 => 1},0), ({x4 => 1},1), ({x6 => 0, x7 => 1, x8 => 1},0)},1)	0.000732
18	4	8	({({x7 => 0},1), ({x1 => 1, x3 => 1},0), ({x2 => 0, x5 => 1},1), ({x4 => 1, x6 => 1, x8 => 1},0)},1)	0.000664
19	4	8	({({x2 => 0, x6 => 1},0), ({x3 => 0},1), ({x5 => 1, x7 => 0},0), ({x1 => 1, x4 => 0, x8 => 1},1)},0)	0.000607
20	3	10	({({x2 => 1, x5 => 1, x9 => 1},1), ({x1 => 0, x6 => 1},0), ({x3 => 0, x4 => 1, x7 => 0, x8 => 1, x10 => 1},1)},0)	0.001686
21	7	10	({({x3 => 1},0), ({x4 => 1, x8 => 1},1), ({x5 => 1},0), ({x2 => 1},1), ({x9 => 1, x10 => 1},0), ({x7 => 0},1), ({x1 => 0, x6 => 1},0)},1)	0.003074
22	5	10	({({x1 => 0},1), ({x2 => 0, x8 => 1},0), ({x4 => 0, x7 => 0, x10 => 0},1), ({x5 => 1},0), ({x3 => 1, x6 => 1, x9 => 1},1)},0)	0.002137
23	4	10	({({x4 => 1, x5 => 0, x7 => 0, x8 => 1},1), ({x6 => 1},0), ({x1 => 0, x3 => 1, x9 => 0},1), ({x2 => 0, x10 => 1},0)},1)	0.001668
24	7	10	({({x3 => 0},0), ({x6 => 0},1), ({x2 => 1},0), ({x7 => 1},1), ({x10 => 1},0), ({x1 => 0, x4 => 0, x8 => 1},1), ({x5 => 1, x9 => 0},0)},1)	0.002574
