ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	0	0	({},1111111001000001)	0.000096
1	0	0	({},1111010101101100)	0.000048
2	0	0	({},1111010111101001)	0.000043
3	0	0	({},0001100011010010111111011001001101001000110100000101011111011110)	0.000084
4	0	0	({},0011001011110001011101001011001010101010001010100000100100010010)	0.000082
5	0	0	({},0011000001010001110011110001101001011110001110111100110001101111)	0.000081
6	0	0	({},0110001001111010000111010011111100111111111100001110111111100001101001010100001110101000011101001110110101100110111111001010011111011100110111000100000011100111010101110100101001000000000101101110011110101000011111010101011000111001001000101010110010101000)	0.000279
7	0	0	({},0100000110000110010111111111110011110010010101001000001010011110010111100100111000110100011010100100000111111110000111101001110111011111001000101010110100010101101101111100111101001010110110100001001000101000011100110110110101100001100110001010010001100010)	0.000259
8	0	0	({},1110000010000011111001111111100011110010111110000100001111101001111100100111001100011010101111000111100000011010010100001001100101010111010110001100000010000100011010001000111001011000000001010100010110001011101000001000110101011010100100010100010011101011)	0.000283
9	0	0	({},0000001111111100000001010101101101000110010010110011100100110000111100100100010110110000011101101000011111010111110011001111000000110000110010110011010011001000111011001111011001111100101011011111100110000110000100011101101011001101000111110100101000111101100101010101111110101010101000101111010101101111111101010001101101001011110111001111101001010010111111001001011011110101001011000010100101001111111010010010100100110010110110100010000110111011111011000011111010001100000010000010100101111110100111011010101011011001011001010111111100010000110111110101001010010101001101000111000101111100001110010001010100111010100010100001001011001111111101001100111100000001111001000011110101010000000001111101101101100001110101011000110000100110101101001101110110100001000100000000000011011101101111010111110001010001010111111111101001011010000111010000001110011101100110000111110010111101110100100110101110001011010101100101111100010001000101101010010101111100100111100100100100011010101001001100011000010011110011000111000110011100)	0.001200
10	0	0	({},1111001110101010011110000001000101001001100111100101101100100000010111001111010100111100000101001001010100110000011011000101111111110111100001110100100110010001000101011110101100011011000011011111101110111110110011101010001111101110111011010110011111010111011001111001000001101000001111111011010101010110011100000010100010110001100011000111010101101010011100101001000100101101111100011011101111111101100011100010110101010100110100010011011010000000010101000101011010000000011011101110010010001101100101110001111001100111110111110110010011011010100010111101010111111110111000011101101011001011010100100011000001101000111000111101001111100110100001011111100010100101110110001010011101001111001100011010101100001010001110011100101110011011110110101010110001100100000000100111100111011001011011100010111101111011111000101110110111100110010010000001110010101111110001010110111010111111001111000100100010110000001110001101110101110000001010000010100110101111011111110001011011010110101001011100111110110110111001100100100111001101)	0.001840
11	0	0	({},1111101111000011000011010001011110110001101101000111100100110101001001111000001001011101110011000001101001001010111011100110000100000101101010000011110000010111100110110111110000001000000010000111000000011110111110111100011100001001000000111111100000001010101010001001110101111010011100111011010110101001011110111001111100110001011101000001011111101000001100001000101010100110001111011010100000010011111010010010111100101001100001000110010001000110000011010110111101001000001001111100000011100111011110111110001111001010110000101011011011111001000110100001000011011111101100101101100100111110101000011100011000110011010010111110000110101010000101100101001110101010101110010001111001111111110110010010011100001100100001001100101001010011010001010111011011011001000000100101111101100100110001100011110011000100000111110000111110001001101011101001001111101000001001011110001010001000100101110111110101111111000111111010001110011000000100101010000111111000001000111101011010010001111100000011011011110001100001010011001101010010)	0.001027
12	0	0	({},0100000011100000011101111110001011001110111111011000100011110001010111001100111101110011100101011101110101100111000100110101000011111001011101111110110110111110001110101111011111110000010110001101111000111110001101111110010111111110000100001101101010100010111111000111011011010110101101100111011000001110101101001011011011100101001110010010000001100110110110000010011000100010000111010000000001011011110000001001011100001000111011011100101100100110110110010000001100101010001010000100011010000101110110100101111110000101110110000110010011001011011010010101100001101110111000010110100011110110010010010111111101100110111101100000001000101001100001100001100001100100100110000001001001000110101001111101111001100000011101110001011100111100101011110010101011111001101111101010100010000001001010100100100000111111101101100110000000001101000100111101001101101100110101100111100110011000001111100001100110111110011010000100100101111000001111011000010101100110111100110011100101011101110010011101011001111011001000111010111001110011111010011111001001000011111010011111000101010110010000101010010011111100000001010100010010000010000111011001011110000111111011001010000000001110100001001010000010111111010001001110111001100100110011011011101111111101111110001011010000000110010010111100011110000110101111101100011001111100011111001100101101110010110101111010000110000010011000110101100101101110100100010010001000111010010000100000010000111010010001000101101110101101101110100111110110101000111000000100111111011001001001111001000110000100100001010101000001111001010010001011111000001001011000111011001011100111100000101111111100111100011100010111011011110111001110011010001001100000010011001101101000010011001011111111001000101011101001110001110101011011000011110010111111101100001000111011000000001100100001010110111110011100011001000100101111000101011101101101010101110100011101001000101001001100000010110101001101001100000001000010111111111001110011010010000101010001101000010100111000101010010010110011000111010000101101101000101111001101001100101001010111100000000000000010010001000110001011001000001111010011111010001001010111001101100000111111111011011000000111111010010001101101011000101111000010010001000110010010000100101000101000101010010100110101000111110111111111110011011000110111110000000001011000010100101111111101101111101010100010001001011101010100100011101111101101001100100000000011001101000010010000100100011101101000001000111100010001101101011101001101000111110010000111011000100100100101010001001100101101000000110100101001001011101010100100111010111101010101000000110111101101000010111010100001101011010010000111110111001111001110110011110010111000001011001111001111110100101011101101000010100110111000110000001101110111110001110001011101000001010001001110001011000111101010110000111101111110010000101011001101111011010000010100001010011100111001111101100110111001011101001001010011000001110111101000000011100000000001100101110111010100110011011011001101010000000111011000111100101111011111101001110111010111001100010110100000001111111111110001111000011100111101001101100110101111000100011011000111100000000100110011011000101000101111101111010101100001010100001010010000010100001100111000101111100101000001011000010101101101011011011110001000100100111100111111100101110100000110001010100001001000001110011001100101011110001000001101110100101011011000111101110001100000001111101011010101000101111101100101010010110100101110101101010011100000001001100101100100110011001111010100001110011011001000101111010110100011100111010111001101100010111101101000011011001110011101101110001000101100010000111101111000111001100000010101111011010101111110001111110111010001010011101101001011011100111101101110001011011111011100000011011110100101011010100001001111100000111101101010011111001111011111000111110110011111000111101110100110000111111010110011010011000000111000100011011010111101011010101101001100000011000001101111100101101110110111001011100111100011000101000100001110010111100101011011100000110000000111111100011100000101010011000010111010101010101110111010000100000000110110111100011110)	0.005401
