ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	4	({({x1 => 1, x2 => 0, x3 => 0, x4 => 1},1)},0)	0.000391
1	1	4	({({x1 => 1, x2 => 0, x3 => 1, x4 => 0},0)},1)	0.000170
2	3	4	({({x3 => 1},0), ({x4 => 1},1), ({x1 => 0, x2 => 1},0)},1)	0.000373
3	3	4	({({x1 => 1},1), ({x4 => 1},0), ({x2 => 0, x3 => 0},1)},0)	0.000350
4	3	4	({({x4 => 0},1), ({x2 => 1},0), ({x1 => 0, x3 => 1},1)},0)	0.000334
5	3	6	({({x4 => 0},0), ({x1 => 1, x3 => 0},1), ({x2 => 0, x5 => 0, x6 => 0},0)},1)	0.000459
6	3	6	({({x2 => 0, x5 => 1},1), ({x6 => 1},0), ({x1 => 1, x3 => 0, x4 => 1},1)},0)	0.000435
7	2	6	({({x2 => 1, x3 => 0, x6 => 1},0), ({x1 => 0, x4 => 0, x5 => 0},1)},0)	0.000327
8	2	6	({({x1 => 0, x3 => 0, x4 => 1, x5 => 1},1), ({x2 => 0, x6 => 0},0)},1)	0.000327
9	3	6	({({x3 => 0, x5 => 1},0), ({x2 => 0, x4 => 1},1), ({x1 => 0, x6 => 0},0)},1)	0.000428
10	6	8	({({x1 => 1},1), ({x6 => 0},0), ({x7 => 0},1), ({x2 => 0, x5 => 1},0), ({x8 => 0},1), ({x3 => 1, x4 => 0},0)},1)	0.001287
11	5	8	({({x2 => 0},0), ({x6 => 1},1), ({x5 => 0},0), ({x1 => 1},1), ({x3 => 0, x4 => 0, x7 => 1, x8 => 0},0)},1)	0.001160
12	3	8	({({x2 => 0, x7 => 1},1), ({x4 => 1, x5 => 0, x6 => 0},0), ({x1 => 1, x3 => 1, x8 => 0},1)},0)	0.000768
13	2	8	({({x3 => 0, x4 => 0, x5 => 1, x8 => 0},1), ({x1 => 1, x2 => 1, x6 => 1, x7 => 0},0)},1)	0.000626
14	3	8	({({x5 => 1, x7 => 1},1), ({x4 => 1},0), ({x1 => 0, x2 => 0, x3 => 0, x6 => 1, x8 => 0},1)},0)	0.000801
15	5	10	({({x2 => 1},0), ({x3 => 1, x10 => 1},1), ({x5 => 1, x7 => 0, x9 => 0},0), ({x1 => 0},1), ({x4 => 1, x6 => 0, x8 => 0},0)},1)	0.003241
