ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	4	({({x1 => 1, x2 => 0, x3 => 0, x4 => 1},1)},0)	.00467837
1	1	4	({({x1 => 1, x2 => 0, x3 => 1, x4 => 0},0)},1)	.00393278
2	3	4	({({x3 => 1},0), ({x4 => 1},1), ({x1 => 0, x2 => 1},0)},1)	.00908569
3	1	6	({({x1 => 1, x2 => 1, x3 => 1, x4 => 0, x5 => 0, x6 => 1},1)},0)	.00520728
4	5	6	({({x4 => 0},0), ({x3 => 1},1), ({x2 => 0},0), ({x5 => 0},1), ({x1 => 1, x6 => 1},0)},1)	.0255345
5	4	6	({({x1 => 0},1), ({x3 => 0, x4 => 0},0), ({x5 => 1},1), ({x2 => 1, x6 => 1},0)},1)	.0180293
6	5	8	({({x2 => 1},0), ({x3 => 0},1), ({x1 => 1, x6 => 0},0), ({x7 => 0},1), ({x4 => 0, x5 => 1, x8 => 1},0)},1)	.0382579
7	3	8	({({x4 => 1, x5 => 0},1), ({x7 => 0},0), ({x1 => 1, x2 => 0, x3 => 1, x6 => 1, x8 => 0},1)},0)	.0199338
8	3	8	({({x1 => 0, x5 => 1, x7 => 1},1), ({x2 => 0, x3 => 1, x6 => 0},0), ({x4 => 0, x8 => 0},1)},0)	.0180219
9	7	10	({({x6 => 0},0), ({x2 => 1},1), ({x5 => 1},0), ({x10 => 0},1), ({x7 => 1, x8 => 0, x9 => 0},0), ({x1 => 1},1), ({x3 => 0, x4 => 0},0)},1)	.0438807
10	5	10	({({x7 => 0},0), ({x2 => 0, x10 => 0},1), ({x1 => 0, x6 => 1, x8 => 0},0), ({x4 => 1, x5 => 0},1), ({x3 => 0, x9 => 1},0)},1)	.0377098
11	7	10	({({x8 => 0},1), ({x7 => 0},0), ({x3 => 1},1), ({x6 => 1, x10 => 1},0), ({x4 => 1},1), ({x5 => 0},0), ({x1 => 0, x2 => 1, x9 => 0},1)},0)	.0510502
12	5	12	({({x2 => 1},0), ({x1 => 0, x5 => 1, x6 => 1, x9 => 0, x12 => 1},1), ({x8 => 1, x10 => 0, x11 => 0},0), ({x7 => 0},1), ({x3 => 0, x4 => 1},0)},1)	.0417444
13	3	12	({({x1 => 0, x6 => 1, x11 => 0},1), ({x7 => 1, x9 => 1},0), ({x2 => 0, x3 => 0, x4 => 1, x5 => 0, x8 => 1, x10 => 1, x12 => 1},1)},0)	.0376775
14	7	12	({({x3 => 1, x11 => 1},0), ({x7 => 1},1), ({x6 => 1},0), ({x5 => 0},1), ({x8 => 0},0), ({x9 => 0},1), ({x1 => 1, x2 => 0, x4 => 1, x10 => 0, x12 => 0},0)},1)	.0543037
