ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	2	({({x1 => 0, x2 => 0},1)},0)	0.000192
1	1	2	({({x1 => 1, x2 => 1},1)},0)	0.000097
2	1	2	({({x1 => 1, x2 => 1},0)},1)	0.000102
3	1	2	({({x1 => 0, x2 => 0},0)},1)	0.000086
4	1	2	({({x1 => 0, x2 => 0},1)},0)	0.000085
5	3	4	({({x3 => 1},0), ({x4 => 1},1), ({x1 => 0, x2 => 1},0)},1)	0.000231
6	3	4	({({x1 => 1},1), ({x4 => 1},0), ({x2 => 0, x3 => 0},1)},0)	0.000225
7	3	4	({({x4 => 0},1), ({x2 => 1},0), ({x1 => 0, x3 => 1},1)},0)	0.000224
8	1	4	({({x1 => 1, x2 => 1, x3 => 0, x4 => 0},0)},1)	0.000108
9	2	4	({({x4 => 0},1), ({x1 => 1, x2 => 1, x3 => 1},0)},1)	0.000166
10	4	6	({({x6 => 1},1), ({x1 => 1, x3 => 1},0), ({x2 => 1},1), ({x4 => 1, x5 => 0},0)},1)	0.000326
11	3	6	({({x1 => 1},0), ({x6 => 0},1), ({x2 => 0, x3 => 0, x4 => 1, x5 => 1},0)},1)	0.000278
12	3	6	({({x4 => 1},0), ({x1 => 1, x2 => 0},1), ({x3 => 0, x5 => 1, x6 => 1},0)},1)	0.000288
13	2	6	({({x1 => 1, x2 => 0, x5 => 0},1), ({x3 => 0, x4 => 1, x6 => 1},0)},1)	0.000282
14	4	6	({({x1 => 0, x6 => 0},0), ({x5 => 1},1), ({x3 => 0},0), ({x2 => 1, x4 => 0},1)},0)	0.000386
15	3	8	({({x2 => 0, x3 => 1, x4 => 0, x7 => 0},0), ({x6 => 1},1), ({x1 => 1, x5 => 1, x8 => 0},0)},1)	0.000577
16	3	8	({({x8 => 0},1), ({x1 => 0, x2 => 1, x3 => 0, x4 => 1, x5 => 0},0), ({x6 => 0, x7 => 0},1)},0)	0.000499
17	5	8	({({x5 => 0},0), ({x1 => 1, x3 => 0},1), ({x2 => 1},0), ({x4 => 1},1), ({x6 => 0, x7 => 1, x8 => 1},0)},1)	0.000557
18	4	8	({({x7 => 0},1), ({x1 => 1, x3 => 1},0), ({x2 => 0, x5 => 1},1), ({x4 => 1, x6 => 1, x8 => 1},0)},1)	0.000542
19	4	8	({({x2 => 0, x6 => 1},0), ({x3 => 0},1), ({x5 => 1, x7 => 0},0), ({x1 => 1, x4 => 0, x8 => 1},1)},0)	0.000821
20	3	10	({({x2 => 1, x5 => 1, x9 => 1},1), ({x1 => 0, x6 => 1},0), ({x3 => 0, x4 => 1, x7 => 0, x8 => 1, x10 => 1},1)},0)	0.001075
21	7	10	({({x3 => 1},0), ({x4 => 1, x8 => 1},1), ({x5 => 1},0), ({x2 => 1},1), ({x9 => 1, x10 => 1},0), ({x7 => 0},1), ({x1 => 0, x6 => 1},0)},1)	0.001056
22	5	10	({({x1 => 0},1), ({x2 => 0, x8 => 1},0), ({x4 => 0, x7 => 0, x10 => 0},1), ({x5 => 1},0), ({x3 => 1, x6 => 1, x9 => 1},1)},0)	0.002660
23	4	10	({({x4 => 1, x5 => 0, x7 => 0, x8 => 1},1), ({x6 => 1},0), ({x1 => 0, x3 => 1, x9 => 0},1), ({x2 => 0, x10 => 1},0)},1)	0.001252
24	7	10	({({x3 => 0},0), ({x6 => 0},1), ({x2 => 1},0), ({x7 => 1},1), ({x10 => 1},0), ({x1 => 0, x4 => 0, x8 => 1},1), ({x5 => 1, x9 => 0},0)},1)	0.001734
